,"O-PTIR 2/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR"
,-6837.93994140625,-6800.490234375,-6831.14013671875,-6905.240234375,-6928.240234375,-6937.64013671875,-6909.490234375,-6872.89013671875,-6815.7900390625
,-3633.3701171875,-3580.57006835938,-3583.1201171875,-3536.27001953125,-3579.71997070313,-3601.02001953125,-3643.6201171875,-3675.1201171875,-3681.07006835938
923,0.0202313996851444,0.586445748806,-1.37288403511047,-0.165658995509148,-1.07192623615265,1.1825532913208,0.902781009674072,-0.0838562771677971,-2.05859327316284
925,-0.632133066654205,0.298326581716537,-0.755678772926331,-0.657294631004333,-1.02144253253937,1.70932388305664,1.94944190979004,1.02268171310425,-2.14707446098328
927,-0.882115840911865,-0.11592910438776,-0.151056662201881,-1.01256740093231,-0.566411852836609,1.28195703029633,2.12129163742065,1.02143371105194,-1.61750769615173
929,-0.678562045097351,-0.300664961338043,-0.0160939935594797,-0.898123621940613,-0.396563559770584,0.18714801967144,1.97475242614746,0.510554015636444,-1.42117989063263
931,-0.194533407688141,-0.733014285564423,0.321506440639496,-0.738438546657562,-0.216185599565506,-0.814643561840057,1.29359006881714,0.408069014549255,-0.833267688751221
933,0.0518189780414104,-0.913143813610077,0.557371199131012,-0.227577596902847,-0.46750009059906,-0.863120138645172,0.733262121677399,0.540492832660675,-0.526888728141785
935,-0.0132640637457371,-0.981338262557983,0.286611020565033,0.413799285888672,-0.45446702837944,-0.578552424907684,0.167573869228363,0.662315785884857,-0.158551156520844
937,0.135816186666489,-0.760961830615997,0.02170136757195,0.627887606620789,0.0238207690417767,-0.26522696018219,0.230632215738297,0.604966104030609,0.259475141763687
939,0.184156805276871,-0.394355714321136,-0.206880897283554,0.308510035276413,0.268134325742722,0.000892550509888679,0.0300372466444969,0.767615556716919,0.584609746932983
941,0.226063907146454,-0.162299260497093,-0.29076623916626,0.358164221048355,0.307251036167145,0.0346907153725624,-0.205506786704063,0.884682178497314,0.64880108833313
943,0.239275097846985,-0.0184761602431536,-0.129016369581223,0.520152628421783,0.492342442274094,0.160573154687881,-0.138707250356674,0.909694314002991,0.816290318965912
945,0.287175744771957,0.0850207358598709,0.131449729204178,0.75249969959259,0.72188413143158,0.303617119789124,-0.0412000678479671,0.929509043693542,1.14755046367645
947,0.418696105480194,0.10897858440876,0.28297370672226,0.927975594997406,0.859694123268127,0.287414312362671,-0.0474718734622002,1.02130055427551,1.46305871009827
949,0.541528940200806,0.161530271172523,0.403724163770676,0.967816829681396,0.929960370063782,0.401644557714462,0.0843639820814133,1.20939135551453,1.66310739517212
951,0.643701255321503,0.236091509461403,0.474352866411209,1.05213439464569,1.04330682754517,0.583707213401794,0.151967421174049,1.28857791423798,1.84139358997345
953,0.739383518695831,0.295400142669678,0.531107783317566,1.23956644535065,1.13936364650726,0.756816446781158,0.174966901540756,1.27190816402435,1.9950042963028
955,0.811978995800018,0.289901196956635,0.63046669960022,1.43557250499725,1.17593920230865,0.873962998390198,0.161302864551544,1.20034229755402,2.10001277923584
957,0.882268488407135,0.299664616584778,0.721657872200012,1.6015100479126,1.1994491815567,0.931778848171234,0.266760408878326,1.1123343706131,2.25944948196411
959,0.907499313354492,0.300178110599518,0.75464940071106,1.67759323120117,1.24200248718262,0.984483122825623,0.37304413318634,1.04718422889709,2.37816405296326
961,0.913596749305725,0.275186419487,0.797111213207245,1.66685914993286,1.27932500839233,1.04170608520508,0.39957395195961,1.01137113571167,2.44432973861694
963,0.944777965545654,0.266881853342056,0.850703418254852,1.63626110553741,1.27118420600891,1.12485885620117,0.426353305578232,0.947046935558319,2.47521376609802
965,0.976675450801849,0.285476684570313,0.924798905849457,1.64731955528259,1.27736949920654,1.19975662231445,0.435509204864502,0.889710307121277,2.52767658233643
967,1.00605225563049,0.308064311742783,0.994782626628876,1.65254235267639,1.29909467697144,1.27380263805389,0.418865621089935,0.865154445171356,2.53751683235168
969,1.00302624702454,0.335243284702301,1.02570164203644,1.62154006958008,1.32370233535767,1.34188151359558,0.431208282709122,0.830359995365143,2.47428917884827
971,0.935982227325439,0.348576128482819,1.01727044582367,1.582563996315,1.30969142913818,1.36383354663849,0.473148435354233,0.817390918731689,2.39184093475342
973,0.879433155059814,0.338017821311951,0.98339432477951,1.52828800678253,1.23093163967133,1.32928502559662,0.492891669273376,0.789929628372192,2.28746938705444
975,0.849133968353271,0.32516872882843,0.93090283870697,1.45918345451355,1.14792132377625,1.31591093540192,0.450250059366226,0.720950603485107,2.18233895301819
977,0.841726064682007,0.302167654037476,0.860102951526642,1.38189327716827,1.04688477516174,1.27814507484436,0.420339643955231,0.647414207458496,2.07446241378784
979,0.804282426834106,0.273228824138641,0.785655438899994,1.314976811409,0.951800346374512,1.20330703258514,0.407700419425964,0.601062834262848,1.96553266048431
981,0.75559401512146,0.242142140865326,0.724979281425476,1.26459002494812,0.896637320518494,1.11153626441956,0.414759665727615,0.548347234725952,1.8602237701416
983,0.692764103412628,0.222661152482033,0.683780074119568,1.22429203987122,0.853132665157318,1.00850868225098,0.410847306251526,0.473787158727646,1.76133120059967
985,0.630117118358612,0.218389496207237,0.651997983455658,1.18402874469757,0.792105972766876,0.926903963088989,0.393186002969742,0.401783376932144,1.67734563350677
987,0.56244432926178,0.221386164426804,0.614787220954895,1.15783858299255,0.725765109062195,0.85720956325531,0.398170381784439,0.357093125581741,1.61790633201599
989,0.511844098567963,0.22409676015377,0.588376224040985,1.13593018054962,0.671355962753296,0.817415058612823,0.411001861095428,0.350710362195969,1.55137097835541
991,0.484968960285187,0.218168213963509,0.558758080005646,1.08749306201935,0.627271175384521,0.77531111240387,0.417021244764328,0.359516769647598,1.46603512763977
993,0.455821812152863,0.206005543470383,0.543521761894226,1.04376876354218,0.607627272605896,0.735107123851776,0.39249986410141,0.351175546646118,1.38401627540588
995,0.421408623456955,0.19863823056221,0.550464451313019,0.993507266044617,0.589085221290588,0.703023493289948,0.360115021467209,0.335746675729752,1.31178104877472
997,0.395306915044785,0.193900302052498,0.551318049430847,0.942311763763428,0.559615552425385,0.687940955162048,0.334698379039764,0.317185491323471,1.25243961811066
999,0.382070183753967,0.187422528862953,0.541960299015045,0.885299980640411,0.530526757240295,0.679469227790833,0.314483553171158,0.282256782054901,1.21854054927826
1001,0.383751749992371,0.174143865704536,0.534602165222168,0.8443244099617,0.501888334751129,0.681046068668365,0.3149633705616,0.260964542627335,1.19097506999969
1003,0.39554363489151,0.161292210221291,0.521973490715027,0.834267497062683,0.48280131816864,0.675194084644318,0.325295269489288,0.252563148736954,1.17035901546478
1005,0.407821029424667,0.149236440658569,0.501241385936737,0.827676713466644,0.471724331378937,0.663933396339417,0.33463528752327,0.245819866657257,1.14910328388214
1007,0.41767281293869,0.125292658805847,0.482188642024994,0.808902084827423,0.466353207826614,0.652908861637115,0.315645664930344,0.25175341963768,1.12399446964264
1009,0.413185805082321,0.11946364492178,0.472507804632187,0.794274508953094,0.464108616113663,0.636170923709869,0.300034314393997,0.264084577560425,1.09150278568268
1011,0.400408297777176,0.129225134849548,0.46251767873764,0.803351521492004,0.476262450218201,0.62681519985199,0.290331125259399,0.252239257097244,1.07101356983185
1013,0.376903206110001,0.139655008912086,0.45798733830452,0.804547429084778,0.49061530828476,0.617681086063385,0.273910373449326,0.229083359241486,1.05444049835205
1015,0.363255530595779,0.14952164888382,0.450879156589508,0.790888905525208,0.497169345617294,0.610710144042969,0.264326363801956,0.209686532616615,1.04243242740631
1017,0.361330389976501,0.158601492643356,0.445024579763412,0.778811573982239,0.49380025267601,0.605695605278015,0.264740943908691,0.193129062652588,1.02174949645996
1019,0.351603448390961,0.164734840393066,0.449889034032822,0.773503959178925,0.486410051584244,0.602065443992615,0.280862957239151,0.167731642723083,1.00723075866699
1021,0.344051510095596,0.168307229876518,0.463193982839584,0.77497535943985,0.483942896127701,0.597477972507477,0.303370594978333,0.144874334335327,0.989587128162384
1023,0.339435905218124,0.178066357970238,0.461236625909805,0.77037638425827,0.490397125482559,0.590093672275543,0.314572185277939,0.147016167640686,0.981858015060425
1025,0.350164234638214,0.184292852878571,0.451235353946686,0.754001319408417,0.498857259750366,0.588823437690735,0.308339655399323,0.160886898636818,0.973379731178284
1027,0.365778595209122,0.181653395295143,0.436720848083496,0.746882796287537,0.49109748005867,0.592121243476868,0.297355890274048,0.164389491081238,0.96365362405777
1029,0.367205888032913,0.172110855579376,0.417157381772995,0.744976997375488,0.474168658256531,0.579883933067322,0.290769696235657,0.162875652313232,0.958685338497162
1031,0.364554733037949,0.162160381674767,0.395546078681946,0.731852471828461,0.461526662111282,0.582259654998779,0.296774625778198,0.161999270319939,0.949201464653015
1033,0.362749874591827,0.154881685972214,0.390047460794449,0.707696735858917,0.446597754955292,0.596012949943542,0.317146390676498,0.152323931455612,0.939441502094269
1035,0.360911101102829,0.148467376828194,0.403115540742874,0.69340193271637,0.439239174127579,0.602912366390228,0.333446562290192,0.14924168586731,0.942089915275574
1037,0.34764689207077,0.143632754683495,0.409809023141861,0.702350437641144,0.443635582923889,0.599953532218933,0.336127579212189,0.164583504199982,0.95183664560318
1039,0.333805173635483,0.140391483902931,0.413696140050888,0.715058505535126,0.44799530506134,0.598979890346527,0.339555621147156,0.177184224128723,0.97111576795578
1041,0.333004027605057,0.14624696969986,0.422366440296173,0.716868102550507,0.448669493198395,0.610086500644684,0.343418598175049,0.169337883591652,0.978795826435089
1043,0.333015441894531,0.160884156823158,0.43099257349968,0.71792608499527,0.449245065450668,0.627143859863281,0.344710469245911,0.170050382614136,0.980941116809845
1045,0.340975135564804,0.168372601270676,0.424981236457825,0.724330306053162,0.449569135904312,0.629381835460663,0.344958156347275,0.177838012576103,0.986818194389343
1047,0.343577802181244,0.17101377248764,0.418842732906342,0.734421253204346,0.458239197731018,0.611298859119415,0.343075722455978,0.166880548000336,0.989556849002838
1049,0.345702975988388,0.172202050685883,0.423299789428711,0.736513078212738,0.465754806995392,0.590841710567474,0.340644806623459,0.155823856592178,0.991299211978912
1051,0.355303645133972,0.171187832951546,0.43807265162468,0.732210516929626,0.477939575910568,0.595126867294312,0.339294582605362,0.162802487611771,0.997672021389008
1053,0.364829063415527,0.173536762595177,0.449547231197357,0.74922788143158,0.485440820455551,0.604586958885193,0.349013894796371,0.177392333745956,1.00475466251373
