,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR"
,-7946.43994140625,-7885.240234375,-8087.64013671875,-8014.5400390625,-8059.5400390625,-7932.08984375,-8012.0400390625,-8013.39013671875,-8078.990234375,-8017.740234375,-8019.64013671875,-7982.14013671875
,-3310.19995117188,-3249.60009765625,-3229.60009765625,-3293.94995117188,-3195.25,-3235.85009765625,-3248.35009765625,-3249.60009765625,-3206.44995117188,-3200.85009765625,-3218.35009765625,-3200.85009765625
923,1.34802114963531,-2.28982925415039,-0.0489990524947643,-0.32119208574295,-1.7379332780838,-2.49463176727295,-1.47577393054962,1.89658176898956,-0.284761220216751,-3.48707127571106,0.585935175418854,0.432655036449432
925,0.240072682499886,-2.13049936294556,0.00670245289802551,-0.203090116381645,-2.66268277168274,-3.07162690162659,-1.10402393341064,1.71061754226685,1.0318216085434,-3.21060037612915,-0.356908619403839,1.20140767097473
927,-0.575892925262451,-2.10606741905212,-0.591270864009857,-0.71643590927124,-3.29629254341125,-3.44426822662354,-1.39992928504944,0.269735336303711,1.67223799228668,-5.18388605117798,-0.819559156894684,1.19483971595764
929,-0.678431689739227,-1.18769574165344,-1.77890479564667,-1.06574749946594,-2.4027636051178,-2.90250492095947,-1.46130514144897,-1.21294558048248,0.417828172445297,-5.43115186691284,-0.375531047582626,1.42873871326447
931,0.290098041296005,-0.902076601982117,-1.7767208814621,-1.48319900035858,-0.54667329788208,-1.34507036209106,-1.13524854183197,-0.982413172721863,0.200933367013931,-4.22581338882446,-0.26117330789566,0.317597985267639
933,1.62553882598877,-0.582273721694946,-0.434766411781311,-2.4113883972168,-0.307710736989975,0.2700574696064,-1.26778936386108,-0.932498812675476,-0.188130646944046,-1.18456268310547,0.86249965429306,-1.28585636615753
935,2.36694169044495,-0.66310065984726,-0.347402781248093,-1.7677059173584,-0.173362776637077,0.611991405487061,-1.05391120910645,-0.572548627853394,-0.190015971660614,-0.34041041135788,1.20707404613495,-1.87626492977142
937,1.7077898979187,-0.24401019513607,-0.810647189617157,-0.938749134540558,-0.066176749765873,0.54440975189209,-0.885022163391113,0.28766793012619,-0.110267199575901,-1.07721507549286,1.11710405349731,-1.88350331783295
939,0.926017761230469,-0.139660090208054,-0.43113100528717,-0.067669965326786,-0.0360027998685837,0.475489646196365,-0.681930840015411,1.13078451156616,-0.343842715024948,-1.62992537021637,0.749704360961914,-1.60112512111664
941,0.360884457826614,-0.0793165862560272,0.090629979968071,0.294179379940033,0.179031535983086,0.68783974647522,-0.424440681934357,1.76472806930542,-0.343079090118408,-1.04180777072906,0.852477729320526,-1.07366037368774
943,0.0260768178850412,0.129027500748634,0.597097992897034,0.334839701652527,0.387015044689178,0.892937064170837,-0.252537906169891,1.97710394859314,-0.350427895784378,-0.527244985103607,1.02385151386261,-0.748789012432098
945,-0.188006311655045,0.320626854896545,0.950875043869019,0.356568723917007,0.538938522338867,1.19580888748169,-0.152165204286575,1.99590659141541,-0.241799131035805,-0.426350474357605,1.03137898445129,-0.62491375207901
947,-0.236133337020874,0.308656841516495,1.28448152542114,0.44523549079895,0.707014262676239,1.47533893585205,-0.251750111579895,2.12611484527588,0.157501682639122,-0.412701427936554,1.23728132247925,-0.624490737915039
949,-0.071867398917675,0.144417762756348,1.62736666202545,0.775789678096771,0.77915346622467,1.88241624832153,-0.267515242099762,2.36804485321045,0.539668798446655,-0.288716197013855,1.66725933551788,-0.531390607357025
951,0.0486385375261307,0.0118467388674617,1.81759691238403,1.03188526630402,0.790336072444916,2.26021075248718,-0.117280647158623,2.63282918930054,0.743319153785706,-0.116250954568386,2.15137696266174,-0.487228810787201
953,0.146611899137497,0.080236054956913,1.92599165439606,1.13184404373169,0.904088199138641,2.46684789657593,0.128460720181465,2.77701020240784,0.931115388870239,-0.054126925766468,2.53157424926758,-0.392560482025146
955,0.333424389362335,0.21909236907959,2.08018326759338,1.24895250797272,1.08086919784546,2.61958694458008,0.403316080570221,2.74660062789917,1.08769369125366,-0.133992582559586,2.67077040672302,-0.241599574685097
957,0.623423933982849,0.371379226446152,2.2261049747467,1.4111088514328,1.25360953807831,2.79861617088318,0.659474611282349,2.66071033477783,1.21396660804749,-0.275483518838882,2.71731495857239,-0.211790218949318
959,0.974504947662354,0.50733083486557,2.40453386306763,1.46993899345398,1.38897621631622,3.06058931350708,0.808109998703003,2.69866585731506,1.35979080200195,-0.335208743810654,2.86148953437805,-0.156350746750832
961,1.2806224822998,0.705025851726532,2.53538227081299,1.48460674285889,1.47499680519104,3.30013585090637,0.997369170188904,2.85402703285217,1.49632680416107,-0.372879952192307,3.10861253738403,-0.102943316102028
963,1.56251680850983,0.86937689781189,2.54815292358398,1.49107384681702,1.52984225749969,3.44519281387329,1.20856106281281,3.06203269958496,1.6185941696167,-0.373026430606842,3.31745362281799,-0.0661382153630257
