,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR"
,14924.66015625,14944.91015625,14915.91015625,14950.509765625,14944.509765625,14921.4599609375,14929.009765625,14922.259765625,14909.9599609375,14933.8095703125,14936.9599609375,14923.0595703125,14925.4599609375,14940.5595703125,14960.4599609375,14952.1103515625,14935.009765625,14921.8603515625
,5352.68017578125,5350.330078125,5336.3798828125,5329.6298828125,5316.93017578125,5338.77978515625,5317.72998046875,5293.02978515625,5310.93017578125,5296.6298828125,5283.1298828125,5305.3798828125,5328.830078125,5333.22998046875,5317.72998046875,5294.6298828125,5310.1298828125,5281.93017578125
923,0.00854589976370335,0.105849489569664,0.731123685836792,-1.77659547328949,1.09177196025848,0.879471182823181,0.0633893013000488,-1.27665114402771,-1.43302953243256,-0.894605398178101,-0.78206467628479,-0.595396280288696,0.961771428585052,0.698508381843567,0.288938522338867,-0.615504741668701,0.130205228924751,0.316942185163498
925,-0.0371460095047951,-0.0774034559726715,-0.575005710124969,-1.14508855342865,0.769618690013885,0.184080168604851,-0.158167779445648,-1.26854169368744,-1.48857235908508,-0.386559307575226,-0.432026833295822,-0.392558097839355,0.965830624103546,0.493515312671661,0.032556526362896,-0.813894629478455,0.415198475122452,-0.0064724013209343
927,0.279697686433792,-0.883895039558411,-0.816888928413391,-0.932289481163025,0.547458171844482,-0.374683231115341,-0.452787041664124,-0.437301516532898,-0.739489316940308,0.258751720190048,-0.585342526435852,-0.767078638076782,0.200800478458405,0.114396765828133,0.0144502269104123,-0.539336442947388,0.129119008779526,-0.139789462089539
929,0.511816024780273,-0.828970849514008,-0.256691545248032,-0.845099031925201,0.496070235967636,-0.465906322002411,-0.115480296313763,-0.106207862496376,-0.479276597499847,0.470028102397919,-0.868696093559265,-1.16664206981659,-0.528490722179413,0.0731722787022591,0.260003983974457,-0.496946156024933,-0.122120395302773,-0.151981756091118
931,0.328263759613037,0.017071109265089,0.314118504524231,-0.587087333202362,0.305803000926971,-0.491292655467987,0.0319814793765545,-0.393535733222961,0.039598386734724,0.462994813919067,-0.70843780040741,-1.08971655368805,-0.524614334106445,0.41673880815506,0.693231582641602,-0.62241518497467,0.167129248380661,-0.0996141731739044
933,0.328561097383499,0.538344144821167,0.331286549568176,-0.426266610622406,0.201816499233246,-0.176224604249001,0.0605844743549824,-0.636452555656433,0.265663862228394,0.280218154191971,0.251679420471191,0.0318754985928535,-0.182160720229149,0.619048595428467,0.79227876663208,-0.356890887022018,0.200334534049034,0.0300802476704121
935,0.858274102210999,0.876889705657959,0.230302259325981,-0.29278552532196,0.458578109741211,0.0991650596261024,0.0447387360036373,-0.305465072393417,0.355105519294739,-0.0295945815742016,0.648749172687531,1.14025056362152,0.527353048324585,0.832082629203796,1.01000893115997,-0.248325124382973,0.312073916196823,0.4465172290802
937,0.773855626583099,1.24436700344086,0.115500010550022,-0.158220261335373,0.795950055122375,0.238783493638039,0.290383398532867,0.013494523242116,0.585123836994171,-0.106612958014011,0.531653881072998,1.5833774805069,0.520728468894958,0.862647294998169,0.931024193763733,-0.0653424933552742,0.535926580429077,0.528450965881348
