,O-PTIR 1/O-PTIR,O-PTIR 2/O-PTIR,O-PTIR 3/O-PTIR,O-PTIR 4/O-PTIR,O-PTIR 5/O-PTIR,O-PTIR 6/O-PTIR,O-PTIR 7/O-PTIR,O-PTIR 8/O-PTIR,O-PTIR 9/O-PTIR,O-PTIR 10/O-PTIR,O-PTIR 11/O-PTIR,O-PTIR 12/O-PTIR,O-PTIR 13/O-PTIR,O-PTIR 14/O-PTIR,O-PTIR 15/O-PTIR,O-PTIR 16/O-PTIR,O-PTIR 17/O-PTIR,O-PTIR 18/O-PTIR,O-PTIR 19/O-PTIR,O-PTIR 20/O-PTIR,,,
961,1.48829484,-0.134804457,-0.094973579,0.273776203,-0.071779869,-0.079040058,0.637412131,-0.0657565,0.001544736,-0.174900413,0.354062229,0.092463866,0.099752672,0.161254317,0.443613708,0.176704079,0.256955326,0.024707682,0.093929835,0.394988358,,,
963,1.595179319,0.042831555,-0.160009667,0.349687129,-0.05490201,-0.025211841,0.658071101,0.001321399,0.027685454,-0.114611819,0.434658408,0.098240688,0.148746356,0.207520947,0.424909621,0.062271874,0.298637182,0.095659964,0.164480075,0.418987006,,,
965,1.651897192,0.17344813,-0.178466976,0.350730389,-0.039277665,0.028942637,0.726274788,-0.018973241,0.085505582,-0.069215402,0.490702569,0.126311809,0.144231319,0.32751599,0.414741158,0.058921661,0.340279639,0.171649396,0.229717538,0.434024274,,,
967,1.629107833,0.229174748,-0.150081277,0.325010866,-0.031175345,0.093336843,0.791379869,-0.02348456,0.183174968,-0.000945334,0.511340737,0.183512449,0.105266124,0.379058599,0.519320369,0.1232206,0.357623398,0.252039313,0.314919114,0.437297523,,,
969,1.599151969,0.268933952,-0.109434843,0.358244598,-0.012427459,0.093993589,0.838326395,-0.008821038,0.243771344,0.102403156,0.472799808,0.256862581,0.148574963,0.37265113,0.59624064,0.150391132,0.379097492,0.311583042,0.354480177,0.484500885,,,
971,1.64300859,0.252171278,-0.054535348,0.360514581,0.00950173,0.033613075,0.914764225,-0.007740934,0.252199322,0.166957736,0.46461165,0.331335157,0.173567235,0.395378888,0.666211069,0.128100097,0.404482663,0.325110495,0.355311424,0.548204839,,,
973,1.689757347,0.255227178,0.015934404,0.398403883,0.010878205,-0.007228005,0.962732077,0.023519229,0.267319888,0.145011961,0.476929873,0.371771127,0.192818344,0.407294631,0.744648516,0.11239928,0.394099981,0.338659048,0.402061939,0.615527809,,,
975,1.715529919,0.289528668,0.095181629,0.42378068,-0.022065366,0.01027427,0.993631244,0.069010273,0.337320447,0.098507114,0.480509698,0.392448097,0.228142321,0.393049836,0.761493742,0.170321375,0.427764922,0.388641655,0.454640388,0.67422992,,,
977,1.780838847,0.353870869,0.16987747,0.396061212,-0.018804472,0.064691104,1.043711901,0.127738431,0.425710857,0.071785517,0.525462866,0.42444244,0.248587698,0.394780695,0.767032802,0.280094177,0.495674342,0.434091419,0.492069721,0.669927359,,,
979,1.875354648,0.443402678,0.207073838,0.38129282,0.006094207,0.130783215,1.089222908,0.183568135,0.518342137,0.086570524,0.587739229,0.45729506,0.286391616,0.411578298,0.799250901,0.384132266,0.52452457,0.435905725,0.519044638,0.659618139,,,
981,1.993751645,0.540647864,0.210682869,0.42645672,-0.014786789,0.13914381,1.14456296,0.224567831,0.574216127,0.097133569,0.651286542,0.534299612,0.283890903,0.431962907,0.855086386,0.465731412,0.558022559,0.439925104,0.526407242,0.687137604,,,
983,2.124576807,0.655116379,0.199948251,0.492591143,-0.027686769,0.142870218,1.220121264,0.269576579,0.605257571,0.106022239,0.720111668,0.662404895,0.268449724,0.459050119,0.887493491,0.510095596,0.642412841,0.47557646,0.53111428,0.742822409,,,
985,2.262938023,0.730940461,0.20184955,0.529501438,-0.012491023,0.177022904,1.244468093,0.327602565,0.639910698,0.146923706,0.766746283,0.803771615,0.273437828,0.474513292,0.920764208,0.529596806,0.713399768,0.517792106,0.524517298,0.782890081,,,
